64	276+537	0	1128	1	137197at6656|TCONS_00011477|+|97|1.37e-23|1|276|812|276[276]:812[812]:537[537]
159	132+450	0	1084	1	137197at6656|TCONS_00013545|+|36|3.159e-05|1|132|581|132[132]:581[581]:450[450]
185	1032+468	0	845	1	137197at6656|TCONS_00012769|+|59|3.766e-12|1|1032|1499|1032[1032]:1499[1499]:468[468]
233	754+1467	0	1302	1	37387at6656|TCONS_00007793|+|32|0.0005055|1|754|2220|754[754]:2220[2220]:1467[1467]
242	380+1179	0	552	1	76812at6656|TCONS_00002867|+|80|1.796e-18|1|380|1558|380[380]:1558[1558]:1179[1179]
265	613+594	0	2	1	93152at6656|TCONS_00023970|+|94|1.096e-22|1|613|1206|613[613]:1206[1206]:594[594]
303	5757+417	0	970	1	79993at6656|TCONS_00029349|+|49|3.857e-09|1|5757|6173|5757[5757]:6173[6173]:417[417]
639	12001+4503	0	1145	1	37387at6656|TCONS_00038946|+|87|1.403e-20|1|12001|16503|12001[12001]:16503[16503]:4503[4503]
737	363+555	0	750	1	137197at6656|TCONS_00048625|+|174|9.067e-47|1|363|917|363[363]:917[917]:555[555]
837	3703+516	0	2	1	93152at6656|TCONS_00048706|+|94|1.096e-22|1|3703|4218|3703[3703]:4218[4218]:516[516]
996	3226+507	0	1168	1	93152at6656|TCONS_00058388|+|34|0.0001264|1|3226|3732|3226[3226]:3732[3732]:507[507]
996	2062+894	0	1381	1	93152at6656|TCONS_00058388|+|41|9.873e-07|1|2062|2955|2062[2062]:2955[2955]:894[894]
1059	1011+597	0	911	1	137197at6656|TCONS_00059359|+|98|6.851e-24|1|1011|1607|1011[1011]:1607[1607]:597[597]
1124	1908+516	0	678	1	137197at6656|TCONS_00001630|+|104|1.07e-25|1|1908|2423|1908[1908]:2423[2423]:516[516]
1132	124+978	0	2	1	93152at6656|TCONS_00003050|+|237|9.831e-66|1|124|1101|124[124]:1101[1101]:978[978]
1156	2403+537	0	1128	1	137197at6656|TCONS_00012406|+|97|1.37e-23|1|2403|2939|2403[2403]:2939[2939]:537[537]
1251	195+396	0	1084	1	137197at6656|TCONS_00013157|+|36|3.159e-05|1|195|590|195[195]:590[590]:396[396]
1325	754+1467	0	1302	1	37387at6656|TCONS_00009788|+|32|0.0005055|1|754|2220|754[754]:2220[2220]:1467[1467]
1334	5846+1179	0	552	1	76812at6656|TCONS_00011400|+|80|1.796e-18|1|5846|7024|5846[5846]:7024[7024]:1179[1179]
1395	5104+417	0	970	1	79993at6656|TCONS_00024521|+|49|3.857e-09|1|5104|5520|5104[5104]:5520[5520]:417[417]
1731	3678+429	0	85	1	37387at6656|TCONS_00038947|+|34|0.0001264|1|3678|4106|3678[3678]:4106[4106]:429[429]
1731	15089+4503	0	1145	1	37387at6656|TCONS_00038947|+|87|1.403e-20|1|15089|19591|15089[15089]:19591[19591]:4503[4503]
1746	1537+528	0	655	1	137197at6656|TCONS_00032094|+|124|1.021e-31|1|1537|2064|1537[1537]:2064[2064]:528[528]
1829	363+555	0	750	1	137197at6656|TCONS_00048624|+|174|9.067e-47|1|363|917|363[363]:917[917]:555[555]
1950	14+5808	0	72	1	37387at6656|TCONS_00044000|+|83|2.245e-19|1|14|5821|14[14]:5821[5821]:5808[5808]
1950	10895+4986	0	1764	1	37387at6656|TCONS_00044000|+|54|1.205e-10|1|10895|15880|10895[10895]:15880[15880]:4986[4986]
1961	1280+465	0	134	1	93152at6656|TCONS_00041473|+|42|4.937e-07|1|1280|1744|1280[1280]:1744[1744]:465[465]
1989	17138+693	0	596	1	40319at6656|TCONS_00048787|+|125|5.104e-32|1|17138|17830|17138[17138]:17830[17830]:693[693]
2071	1593+258	0	110	1	131276at6656|TCONS_00058967|+|64|1.177e-13|1|1593|1850|1593[1593]:1850[1850]:258[258]
2216	2307+516	0	678	1	137197at6656|TCONS_00001631|+|104|1.07e-25|1|2307|2822|2307[2307]:2822[2822]:516[516]
2248	251+537	0	1128	1	137197at6656|TCONS_00012866|+|97|1.37e-23|1|251|787|251[251]:787[787]:537[537]
2343	141+396	0	1084	1	137197at6656|TCONS_00007588|+|36|3.159e-05|1|141|536|141[141]:536[536]:396[396]
2487	6439+417	0	970	1	79993at6656|TCONS_00024522|+|49|3.857e-09|1|6439|6855|6439[6439]:6855[6855]:417[417]
2547	324+555	0	1636	1	137197at6656|TCONS_00016267|+|81|8.98e-19|1|324|878|324[324]:878[878]:555[555]
2776	1364+609	0	2	1	93152at6656|TCONS_00034593|+|105|5.352e-26|1|1364|1972|1364[1364]:1972[1972]:609[609]
