2	203+1591	0	165096	1	132329at6656_41427_0:002b15|TCONS_00000171|+|716|4.682e-208|3|203|1793|203[203]:1036[1036]:834[834]|1099[1102]:1431[1431]:333[330]|1524[1524]:1793[1793]:270[270]
11	115+1035	0	60978	1	52643at6656_62324_0:001980|TCONS_00000932|+|684|2.011e-198|1|115|1149|115[115]:1149[1149]:1035[1035]
25	1272+753	0	81674	1	28325at6656_52283_0:001727|TCONS_00005053|+|123|1.518e-29|1|1272|2024|1272[1272]:2024[2024]:753[753]
30	7+603	0	160903	1	122526at6656_6850_0:004fa2|TCONS_00010668|+|66|2.187e-12|1|7|609|7[7]:609[609]:603[603]
32	675+630	0	97276	1	96971at6656_48709_0:0011df|TCONS_00011434|+|70|1.367e-13|1|675|1304|675[675]:1304[1304]:630[630]
34	353+1419	0	2679	1	119541at6656_43041_0:0014c6|TCONS_00012191|+|875|6.407e-256|1|353|1771|353[353]:1771[1771]:1419[1419]
38	2194+786	0	150567	1	66366at6656_6973_0:003eea|TCONS_00001667|+|87|1.043e-18|1|2194|2979|2194[2194]:2979[2979]:786[786]
51	15+192	0	136771	1	119438at6656_1218281_0:0031f4|TCONS_00007924|+|40|0.0001468|1|15|206|15[15]:206[206]:192[192]
54	64+1152	0	150863	1	143459at6656_7165_0:000163|TCONS_00003137|+|766|4.158e-223|1|64|1215|64[64]:1215[1215]:1152[1152]
55	0+2349	0	161345	1	19129at6656_7165_0:000170|TCONS_00001758|+|1566|0|1|0|2348|0[0]:2348[2348]:2349[2349]
61	56+2247	0	44988	1	94878at6656_52283_0:0021c8|TCONS_00003175|+|344|4.504e-96|1|56|2302|56[56]:2302[2302]:2247[2247]
64	276+537	0	25958	1	137197at6656_7539_0:0024ad|TCONS_00011477|+|97|1.019e-21|1|276|812|276[276]:812[812]:537[537]
75	452+846	0	47581	1	119438at6656_116153_0:00167e|TCONS_00010733|+|61|7e-11|1|452|1297|452[452]:1297[1297]:846[846]
77	3349+249	0	18475	1	151393at6656_438502_0:004c36|TCONS_00004498|+|45|4.587e-06|1|3349|3597|3349[3349]:3597[3597]:249[249]
78	1223+597	0	96843	1	33566at6656_407821_0:0013fe|TCONS_00012676|+|86|2.086e-18|1|1223|1819|1223[1223]:1819[1819]:597[597]
79	1027+264	0	140096	1	97763at6656_6973_0:006290|TCONS_00012435|+|39|0.0002936|1|1027|1290|1027[1027]:1290[1290]:264[264]
83	28+909	0	123761	1	112328at6656_568069_0:001f52|TCONS_00006284|+|133|1.482e-32|1|28|936|28[28]:936[936]:909[909]
85	364+420	0	18260	1	118037at6656_40932_0:0032c6|TCONS_00001935|+|55|4.48e-09|1|364|783|364[364]:783[783]:420[420]
93	217+3651	0	11766	1	6820at6656_199890_0:0025fa|TCONS_00007406|+|2481|0|1|217|3867|217[217]:3867[3867]:3651[3651]
97	323+675	0	56509	1	145443at6656_7165_0:00036d|TCONS_00005350|+|438|2.274e-124|1|323|997|323[323]:997[997]:675[675]
100	3460+708	0	45553	1	122526at6656_6850_0:0018b0|TCONS_00003432|+|167|8.628e-43|1|3460|4167|3460[3460]:4167[4167]:708[708]
100	628+633	0	97993	1	112281at6656_6850_0:003e5e|TCONS_00003432|+|64|8.75e-12|1|628|1260|628[628]:1260[1260]:633[633]
101	2467+1563	0	71984	1	100673at6656_7004_0:0002cb|TCONS_00003437|+|608|1.519e-175|1|2467|4029|2467[2467]:4029[4029]:1563[1563]
103	2216+1440	0	134122	1	33187at6656_52612_0:002384|TCONS_00012002|+|153|1.414e-38|1|2216|3655|2216[2216]:3655[3655]:1440[1440]
105	1024+384	0	39300	1	81708at6656_418985_0:00044c|TCONS_00011525|+|40|0.0001468|1|1024|1407|1024[1024]:1407[1407]:384[384]
